note,review_type,level,check,finding
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,INFO,Completeness,"Boundary case: caching or memoization. Caching an LLM response improves speed and cost without narrowing generality (the system can still handle all the same inputs; the cache just shortcuts repeated ones). The constraining note classifies ""storing an LLM output"" as constraining because it ""commits to one interpretation,"" but caching a response for a repeated query is a pure compound gain with no generality loss for novel queries. This sits ambiguously between the two mechanisms -- it could be framed as constraining (commitment) or as infrastructure optimization (no generality trade). The note's framing that both mechanisms trade generality for compound may not cover pure efficiency improvements."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,INFO,Completeness,"Boundary case: the note's LLM-vs-calculator example is compelling but represents the extreme end. A middle case would sharpen the argument: adding input validation to an LLM workflow. This constrains (rejects some inputs) but the generality loss is arguably zero for well-formed inputs, while reliability increases. The trade-off framing suggests you always lose something; in practice the ""generality"" lost may be only malformed or adversarial inputs that were never genuinely served."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,INFO,Grounding,"The note says distillation ""extracts from a larger body of reasoning into a focused artifact"" (claim 8). The distillation source note defines it as ""compressing knowledge so that a consumer can act on it within bounded context."" There is a subtle vocabulary difference: ""extracts from reasoning"" vs ""compresses knowledge."" Extraction implies selection; compression implies the whole is preserved at lower resolution. The note's framing slightly over-emphasizes the selection aspect, though both framings are compatible."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,INFO,Internal consistency,"The comparison table says distillation's medium transition is ""Typically none -- stays in natural language,"" and constraining's ranges from ""none (conventions) to full (codification)."" But the body text's distillation section says distillation produces a ""focused artifact shaped by a specific use case, context budget, or agent"" -- which in practice could be code (e.g. a codified script distilled from methodology). The codification note explicitly says ""Codification can also be distillation -- when it draws on accumulated methodology or practice, it's both operations at once."" The table's ""typically none"" for distillation is accurate as a statistical claim but could mislead readers into thinking distillation never crosses media."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,CLEAN,Internal consistency,"The note's core structure is internally consistent: it defines one trade-off (generality vs compound), shows two mechanisms operating on it, and uses the comparison table to differentiate them. No section contradicts another on the basic framework."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,CLEAN,Internal consistency,"The term ""compound"" is used consistently throughout -- always meaning the cluster of reliability, speed, and cost. No definition drift."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,CLEAN,Grounding,"The attribution to learning-is-not-only-about-generality.md for the capacity decomposition (claim 1) checks out. That note explicitly defines ""generality"" and ""the compound -- reliability, speed, cost"" as the two clusters, and says ""constraining and distillation both trade generality for compound gains."""
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,CLEAN,Grounding,"The constraining note (constraining.md) confirms the ""interpretation space"" framing and the constraining spectrum from conventions to codification. The reviewed note accurately represents this."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,CLEAN,Grounding,"The codification note (codification.md) confirms codification as ""the far end of the constraining spectrum"" and describes the substrate/medium change. The reviewed note's characterization is accurate."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,CLEAN,Grounding,"The bitter-lesson-boundary link is used correctly -- the note references it for determining ""when the generality-vs-compound trade-off is permanent vs when relaxing is needed,"" which matches the source's content about arithmetic vs vision features."
constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md,semantic-review,CLEAN,Completeness,"The LLM-vs-calculator example (claim 3) is a well-chosen concrete instance that maps cleanly to the framework. The three compound dimensions are all clearly illustrated (never wrong = reliability, microseconds = speed, free = cost)."
constraining-during-deployment-is-continuous-learning.md,prose-review,WARN,Confidence miscalibration,"""covers most of what deployed systems need"" in the final paragraph is an unhedged empirical claim with no supporting evidence. The note is careful elsewhere to scope constraining as a subset (""this note is therefore a subset claim""), but this sentence reasserts dominance over the broader space without grounding."
constraining-during-deployment-is-continuous-learning.md,prose-review,WARN,Orphan references,"DSPy and ProTeGi are named as systems that ""automate one slice of constraining"" but neither is cited with a source, paper, or link. A reader encountering these names has no way to verify the characterization or follow up."
constraining-during-deployment-is-continuous-learning.md,prose-review,INFO,Source residue,"The examples in paragraph two — `format_date()`, system prompts with house style, validation scripts catching errors ""that previously required human review"" — all come from a software-engineering context. The note's title and framing claim generality about ""continuous learning"" in deployed AI systems, not specifically software-engineering deployments. The examples are not framed as illustrative (""in software engineering, for instance...""); they read as if this is the only context. This may be intentional given the KB's domain, but it limits the note's claimed generality about continuous learning as a concept."
constraining-during-deployment-is-continuous-learning.md,prose-review,INFO,Anthropomorphic framing,"The phrase ""the ML community recognizes this as learning"" attributes a collective recognition state. This is a minor point — it's a claim about community consensus rather than about model internals — but the note provides no citation for this community recognition. If the claim matters to the argument, it needs a source; if it doesn't, it could be cut."
constraining-during-deployment-is-continuous-learning.md,prose-review,CLEAN,Pseudo-formalism,"No formal notation or mathematical apparatus appears in the note. The argument is conducted entirely in prose, which is appropriate for its content."
constraining-during-deployment-is-continuous-learning.md,prose-review,CLEAN,Proportion mismatch,"The core claim — that constraining constitutes continuous learning — receives the bulk of the note's development. Paragraph one frames the claim, paragraph two provides the mechanism, paragraph three provides the definitional grounding (Simon), paragraph four gives the scoping caveat, paragraph five provides empirical examples, and paragraph six handles the boundary condition. The load-bearing content (mechanism + definition + scope) is proportionally dominant. No section is overdeveloped relative to its importance."
constraining-during-deployment-is-continuous-learning.md,prose-review,CLEAN,Unbridged cross-domain evidence,"The Simon definition (paragraph three) is a general learning-theory definition being applied to AI systems, which is a valid move since Simon's definition is intentionally domain-neutral (""any system""). The developer study reference is about human developers, but it's cited as evidence of the same pattern ""in manual form,"" which is a fair characterization since the note's claim is about the system-level learning (artifacts accumulating), not about the developers' cognition."
constraining-during-deployment-is-continuous-learning.md,prose-review,CLEAN,Redundant restatement,"Each paragraph opens with new content. Paragraph four (""This note is therefore a subset claim"") might appear to restate paragraph three, but it performs distinct work: it scopes the claim to prevent over-reading. No paragraph could be deleted without losing its contribution."
constraining-during-deployment-is-continuous-learning.md,semantic-review,WARN,Completeness,"""The extractable, testable subset that constraining handles covers most of what deployed systems need"" (para 6) is a strong quantitative claim (""most"") with no grounding. No cited source supports a proportion estimate. The developer study (Huang et al.) documents control strategies but says nothing about what fraction of deployed-system needs those strategies cover. The note's own prior paragraph acknowledges weight-based learning handles ""distributional knowledge (style, tone, world knowledge)"" — it is not obvious this is the minority case. For a style-sensitive application (marketing copy, creative writing, brand voice), distributional knowledge may be the majority of what the deployed system needs. This claim would benefit from either qualification (""covers a substantial share"") or evidence."
constraining-during-deployment-is-continuous-learning.md,semantic-review,WARN,Completeness,"The note lists the artifact forms that constitute constraining during deployment as ""prompts, schemas, evals, tools, and deterministic code"" (para 1), and later adds ""agent memory systems (Claude's memory files, Cursor rules, AGENTS.md conventions)"" (para 5). Boundary case: **retrieval-augmented generation (RAG) knowledge bases** — adding documents to a retrieval corpus durably changes the system's behavior distribution during deployment, is inspectable and rollbackable, and is arguably the most widespread form of deploy-time adaptation. RAG document curation does not clearly map to ""constraining"" as defined in the constraining.md foundation note (which defines constraining as narrowing the interpretation space). Adding a new document to a RAG corpus *expands* what the system can answer — it is accumulation, not narrowing. If RAG is excluded, the note's claim that constraining covers ""most of what deployed systems need"" becomes harder to sustain, since RAG-based adaptation is extremely common. If RAG is included, the note's use of ""constraining"" drifts from the foundation note's definition."
constraining-during-deployment-is-continuous-learning.md,semantic-review,WARN,Grounding – domain coverage,"The note claims that developer behaviors documented in the Huang et al. study — ""developers iteratively refine prompts, tools, and workflows based on deployment experience"" — constitute ""continuous learning through constraining."" But the ingest note for that source explicitly warns: ""Strategies described, not evaluated"" and ""Single 45-minute observation window."" The study captures cross-sectional snapshots of developer practices, not longitudinal evidence of durable capacity change accumulating over time. Simon's definition requires ""more or less permanent change in capacity"" — a single observation session cannot establish permanence. The note treats ""developers do X"" as evidence for ""X is continuous learning,"" but the cited source does not actually show the accumulation or persistence of the artifacts it describes. The inference from observed behavior to continuous learning is plausible but unsupported by the cited evidence specifically."
constraining-during-deployment-is-continuous-learning.md,semantic-review,INFO,Completeness,"The note frames the comparison as ""symbolic artifacts vs weight updates"" but does not address a third category: **architectural/infrastructure changes** to deployed systems (adding a new tool endpoint, changing the retrieval pipeline, modifying the agent's allowed action space). These are durable, inspectable changes to the system's capacity — and they may or may not count as ""constraining"" depending on whether they narrow or broaden interpretation. The note's binary framing (weights vs artifacts) may undercount the mechanisms of deploy-time adaptation."
constraining-during-deployment-is-continuous-learning.md,semantic-review,INFO,Grounding – vocabulary mismatch,"The note states DSPy and ProTeGi ""automate one slice of constraining — searching over prompt components to optimize against an objective — and the ML community recognizes this as learning."" DSPy's self-description uses ""compiling"" and ""optimizing,"" not ""constraining."" The ML community recognizes prompt optimization as optimization/search, not necessarily as ""learning"" in Simon's sense. The note is making an inference (prompt optimization = constraining = learning) that is reasonable but attributes to the ML community a recognition it may not hold. The note could be more precise: the ML community recognizes DSPy as automated optimization; *the note* argues this constitutes learning under Simon's definition."
constraining-during-deployment-is-continuous-learning.md,semantic-review,INFO,Internal consistency,"The note carefully states it is ""a subset claim, not the umbrella claim"" (para 4) — constraining is one way continuous learning happens outside weights. But the final paragraph's ""covers most of what deployed systems need"" pulls toward an umbrella-adjacent claim: if constraining handles ""most"" of what's needed, it is de facto the dominant mechanism, not merely one subset. The subset framing and the ""most"" claim create a tension — the note modestly scopes itself in paragraph 4 but makes an expansive claim in paragraph 6."
constraining-during-deployment-is-continuous-learning.md,semantic-review,INFO,Grounding – inference validity,"The note argues: (a) constraining changes the system, (b) the change is permanent (versioned, committed), (c) the capacity for adaptation improves, therefore (d) constraining meets Simon's definition of learning. Step (c) contains a subtle gap: not all constraining improves adaptive capacity. A poorly chosen constraint (an overly restrictive schema, a wrong convention) durably *reduces* the system's capacity. The note implicitly assumes constraining is done well. Simon's definition is symmetric — maladaptive permanent changes are also ""learning"" under some readings, or they fail the definition under others. The note could acknowledge that constraining-as-learning assumes the constraining is adaptive, not arbitrary."
constraining-during-deployment-is-continuous-learning.md,semantic-review,CLEAN,Internal consistency,"The note's self-scoping as ""a subset claim, not the umbrella claim"" (para 4) is faithfully maintained in the surrounding structure — the durability-focused foundation note (continuous-learning-requires-durability-not-weight-updates.md) makes the general claim, and this note correctly positions itself as one concrete instance. The Relevant Notes section accurately reflects this relationship (""this note is one concrete non-weight case, not the general claim"")."
constraining-during-deployment-is-continuous-learning.md,semantic-review,CLEAN,Grounding alignment,"The Simon citation checks out against the foundation note (learning-is-not-only-about-generality.md), which quotes Simon: ""learning is any change in a system that produces a more or less permanent change in its capacity for adapting to its environment."" The note's use of this definition is accurate."
constraining-during-deployment-is-continuous-learning.md,semantic-review,CLEAN,Grounding alignment,"The link to constraining-and-distillation-both-trade-generality-for-reliability-speed-and-cost.md accurately supports the claim about the generality-for-compound trade-off. The foundation note explicitly states: ""Each constraint narrows what the system can do (less generality) but makes what it does do more reliable, faster, and cheaper."" The attribution is faithful."
constraining-during-deployment-is-continuous-learning.md,semantic-review,CLEAN,Grounding alignment,"The note's characterization of the developer study (""developers iteratively refine prompts, tools, and workflows based on deployment experience"") accurately reflects the source's content. The ingest summary confirms: ""professionals carefully control agents through planning, explicit prompting with rich context, step-by-step supervision, and established software engineering practices."" The vocabulary and scope of the attribution are aligned — the concern (noted in WARN above) is about what the source can prove about durability, not about whether the behavioral description is accurate."
constraining-during-deployment-is-continuous-learning.md,semantic-review,CLEAN,Internal consistency,"The note's acknowledgment that ""not all continuous learning is constraining"" (para 6) and its explicit subset framing (para 4) are consistent with each other and with the broader KB structure. No definition drift was detected — ""constraining"" is used consistently throughout as narrowing the interpretation space through symbolic artifacts."
constraining.md,prose-review,WARN,Confidence miscalibration,"The note presents its own taxonomy — the constraining spectrum, the orthogonality claim, the constrain/relax cycle as a ""learning cycle"" — with fully assertive language throughout. ""Constraining is a gradient, not a single operation."" ""Constraining and distillation are orthogonal."" ""The cycle isn't maintenance — it's how the system adapts."" These are the note's own theoretical constructions, not cited results. The Prior work section surveys related ideas but explicitly disclaims systematic grounding (""This survey is from the agent's training data, not systematic""). The core framework is proposed, but the prose reads as established."
constraining.md,prose-review,WARN,Proportion mismatch,"The note's title claim is that constraining narrows the interpretation space. The section that carries the most weight for this claim — the opening paragraph — is roughly 100 words. The ""Relationship to distillation"" section, which is about how constraining relates to a different concept, runs roughly 130 words plus a 2x2 table. The ""Prior work"" section, which is a literature survey, runs roughly 120 words plus a TODO disclaimer. The core mechanism gets one paragraph of development while the relationship to a sibling concept and a self-admittedly unsystematic literature survey each receive comparable or greater space. The constraining spectrum table partially compensates, but the conceptual development of *why* narrowing the interpretation space matters — the mechanism itself — is thin relative to the framing apparatus around it."
constraining.md,prose-review,INFO,Source residue,"The note claims generality (""one of two co-equal learning mechanisms in deployed agentic systems"") but the examples in the constraining spectrum table are all from the knowledge-base domain: ""Store an LLM output,"" ""Write a description field,"" ""Create a convention,"" ""Add structured sections,"" ""Extract a deterministic function."" These are natural examples for the KB-building context of this repo, not arbitrary choices. This is borderline — the note's scope IS agentic systems with KBs, so these examples are within domain. But the opening sentence claims ""deployed agentic systems"" broadly, which is wider than KB operation."
constraining.md,prose-review,INFO,Anthropomorphic framing,"The note is mostly clean on this front, but ""the system adapts"" in the Relaxing section (""it's how the system adapts"") attributes adaptation — a cognitive or biological property — to a system that is a collection of artifacts and procedures. This is mild and possibly intentional (the note is about learning mechanisms), but ""adapts"" implies autonomous agency that the constrain/relax cycle doesn't necessarily have — it requires human or agent decisions at each step."
constraining.md,prose-review,CLEAN,Pseudo-formalism,"The 2x2 matrix (constrained/not constrained vs. distilled/not distilled) and the constraining spectrum table are both doing real work — the matrix makes the orthogonality claim testable by providing concrete examples in each cell, and the spectrum table orders examples along the gradient. Neither pretends to be mathematical. Removing either would lose clarity. No variables, equations, or notation appear."
constraining.md,prose-review,CLEAN,Orphan references,"No unsourced empirical claims, specific numbers, or named studies appear without context. The Prior work section cites Siek & Taha (2006) with sufficient context. The TODO explicitly flags the survey's limitations. All other references are to internal notes with clear relationship semantics."
constraining.md,prose-review,CLEAN,Unbridged cross-domain evidence,"The Prior work section cites gradual typing, formal specification, Carnap's explication, and ontology engineering — all from outside the agentic-systems domain. However, the note does not claim these findings transfer directly; it presents them as analogues (""The closest direct analogue"") and then explicitly states what is domain-specific (""What's specific to our use is applying constraining to the agent-operated KB setting""). The bridging is adequate."
constraining.md,prose-review,CLEAN,Redundant restatement,"Each section opens with new content. ""The constraining spectrum"" does not re-explain the opening definition. ""Relaxing"" introduces the reverse operation without restating the forward direction. ""Relationship to distillation"" opens with the orthogonality claim, not a recap of constraining. No section could lose its opening paragraph without damage."
constraining.md,semantic-review,WARN,Completeness,"The constraining spectrum table lists five rows (store output, write description, create convention, add structured sections, extract deterministic function) but the note says ""constraining is a gradient, not a single operation."" The table presents discrete steps without acknowledging cases that sit between them. Specifically: **renaming a file to follow a naming convention** is both ""creating a convention"" and ""storing an output"" (the name is a committed interpretation). **Adding an eval or test harness** constrains behavior significantly (the linked note on methodology-enforcement-is-constraining.md covers hooks, which occupy exactly this middle ground) but does not appear in the spectrum table. The table reads as illustrative rather than exhaustive, but the absence of any qualifier (""e.g.,"" ""such as,"" ""key steps include"") makes it look like a complete enumeration. The linked underspecification note's own constraining discussion includes prompt restructuring and evals, which this note's spectrum table omits."
constraining.md,semantic-review,WARN,Completeness,"The note claims constraining and distillation are ""the two co-equal learning mechanisms"" (opening line). This is a scope claim (""two"" implies completeness). Boundary case: **pruning** (removing outdated or wrong artifacts from the KB) is a learning operation — the system's behavior changes because knowledge is removed. Pruning is neither distillation (no extraction/compression) nor constraining (no narrowing of interpretation space on a spec). It is closer to ""forgetting"" or ""unlearning."" The methodology-enforcement note itself observes that ""removals (23) and section deletions (2)"" occur, changing system behavior. If pruning is a third mechanism, the ""two co-equal"" framing is incomplete. If pruning is subsumed under one of the two, the note should explain how."
constraining.md,semantic-review,WARN,Grounding,"The note says ""When scale makes a general approach good enough on reliability+speed+cost, the bitter lesson boundary tells you to relax."" The bitter-lesson-boundary note actually argues something more specific: it distinguishes cases where the spec IS the problem (arithmetic regime — constraining survives) from cases where the spec approximates the problem (vision-feature regime — scale eats the constrained solution). The bitter lesson boundary doesn't simply say ""when scale is good enough, relax"" — it says constraining is permanent when the spec fully captures the problem, and vulnerable when it doesn't. The note's attribution flattens this distinction into a simpler trigger (""scale makes a general approach good enough""), which loses the mechanism the source note provides."
constraining.md,semantic-review,INFO,Completeness,"The prior-work enumeration lists four fields (gradual typing, formal specification, Carnap's explication, ontology engineering). Boundary case: **access control and permissions** (RBAC, capability-based security) is a well-established system for narrowing what operations are valid — it constrains the action space, not the interpretation space, but the structural parallel is close. Similarly, **type theory beyond gradual typing** (refinement types, dependent types) narrows interpretation spaces with more granularity than the gradual typing example suggests. The note flags this as a non-systematic survey (the TODO acknowledges it), so this is expected incompleteness, but the omissions are worth noting for the eventual revision."
constraining.md,semantic-review,INFO,Completeness,"The 2x2 orthogonality matrix (constrained vs. distilled) places ""validated skill, codified script"" in the constrained+distilled quadrant. Boundary case: a **generated test suite** is distilled (extracted from understanding of the code) and constrained (deterministic, committed), but doesn't fit neatly as either a ""validated skill"" or a ""codified script."" The quadrant labels are illustrative examples, not definitions — but readers may mistake them for the only inhabitants of each cell."
constraining.md,semantic-review,INFO,Internal consistency,"The opening paragraph says constraining operates on ""underspecified specs"" and the spectrum table includes ""Write a description field — Enable search without reading."" Writing a description field doesn't obviously narrow the interpretation space of a spec — it adds metadata for retrieval. This is constraining in a different sense (committing to a specific characterization of the note) than the sense defined in the opening (narrowing valid interpretations of an instruction). The note may be using ""constraining"" in two senses: (1) narrowing how an agent interprets a spec, and (2) committing to any specific interpretation/characterization. The opening defines sense (1); the table uses sense (2) in at least one row."
constraining.md,semantic-review,INFO,Grounding,"The Relaxing section says ""The cycle isn't maintenance — it's how the system adapts."" This is a strong framing claim that draws a sharp line between maintenance and adaptation. But some constrain/relax cycles ARE maintenance — e.g., relaxing a brittle convention that stopped working after an environment change is repair, not learning. The note's claim that the cycle is ""not maintenance"" is defensible as a reframing but overstates the distinction."
constraining.md,semantic-review,CLEAN,Internal consistency,"The 2x2 orthogonality matrix between constraining and distillation is consistent across both this note and the distillation note — identical table, identical examples, identical framing. No definition drift between the two presentations."
constraining.md,semantic-review,CLEAN,Internal consistency,"The definition of constraining (""narrows the interpretation space"") is used consistently throughout. The opening paragraph, the spectrum table (each row narrows the space), the relaxing section (reverse operation widens it), and the relationship section all use the same concept without drift."
constraining.md,semantic-review,CLEAN,Grounding,"The note says codification ""is not a separate mechanism — it's what constraining looks like when it crosses a medium boundary."" The codification note confirms this exactly: ""Codification is not a separate mechanism from constraining; it's what constraining looks like when it goes all the way."" Attribution is accurate."
constraining.md,semantic-review,CLEAN,Grounding,The note's framing of constraining as operating on the underspecification from the agentic-systems-interpret-underspecified-instructions note is well-grounded. That note explicitly discusses constraining as moving components from underspecified to precise semantics and defines the interpretation space that this note's constraining operates on.
constraining.md,semantic-review,CLEAN,Grounding,"The claim ""You can constrain without distilling (store an LLM output — commit to one interpretation, no extraction from reasoning)"" is confirmed by the storing-llm-outputs-is-constraining note, which describes storing as resolving semantic underspecification without any extraction step."
constraining.md,semantic-review,CLEAN,Internal consistency,"The constraining spectrum is presented as ordered from light (conventions) to heavy (codification), and the Relaxing section correctly presents the reverse. No directional inconsistency."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,WARN,Confidence miscalibration,"""Context is the scarce resource in agent systems — not compute, memory, or storage"" and ""context is the lowest-degree-of-freedom resource in agent systems"" are presented as established facts, but this is the note's own framing, not a cited finding. The Anthropic source calls context ""a critical but finite resource,"" which is weaker than ""the only fundamental scarce resource."" The note escalates a practitioner heuristic to a universal claim without flagging the gap. The closing sentence — ""If context is the only fundamental scarce resource"" — at least uses a conditional, but the opening paragraph and description assert it unconditionally."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,WARN,Proportion mismatch,"The core claim is that context efficiency is the *central design concern* — meaning it should dominate architectural decisions. The ""Architectural responses"" section is where that claim earns its weight, but it is a bullet list with one-line descriptions. Meanwhile, ""Prior work"" and ""Volume and complexity"" get full paragraph treatment for what are essentially setup sections. The most architecturally substantive content (frontloading, progressive disclosure, sub-agent isolation, navigation design) is compressed into link-heavy bullets that delegate almost all substance to other notes. The result is that the note reads more as an index of architectural responses than as an argument for why context efficiency is central."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,WARN,Unbridged cross-domain evidence,"The ""Prior work"" section cites Simon (1971) on human attention, Miller (1956) and Cowan (2001) on human working memory, and Toffler (1970) on human information overload. The bridging sentence — ""What's specific to agent systems is the unitary channel, the hard token limit, and the interaction between volume and complexity"" — identifies differences but does not explain the shared mechanism that makes the human findings relevant. Why does human attention economics transfer to token-based context windows? The analogy is plausible but the note treats it as self-evident."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,INFO,Source residue,"The note is pitched at a general ""agent systems"" level. Most of the practitioner evidence comes from coding agents specifically — Lopopolo's Codex codebase, Koylan's Personal Brain OS for coding workflows, the JetBrains research on coding agents. The note does not frame these as domain-specific examples; they are cited as general evidence. This is not clearly wrong (coding agents are the most mature agent domain), but a reader from a different agent domain (customer service, research, data analysis) might find the evidence base narrower than the claim scope suggests."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,INFO,Redundant restatement,"The opening of ""Volume and complexity"" — ""The soft bound operates across two dimensions — volume (how many tokens) and complexity (how hard they are to use) — decomposed in [agent context is constrained...]"" — restates what the third paragraph of the introduction already established: ""The binding constraint is soft degradation, not hard token limits — established in [agent context is constrained...]."" Both paragraphs point to the same note and re-establish the same premise. The section then adds new content (Koylan evidence, the ""not fully separable"" point), but the opening sentence is pure restatement."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,CLEAN,Pseudo-formalism,"No formal notation, equations, or mathematical apparatus. The note uses prose throughout. The phrase ""lowest-degree-of-freedom resource"" could be read as pseudo-formal, but it links to a note that defines the concept, so it functions as a term of art rather than decorative formalism. Clean."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,CLEAN,Orphan references,"All specific claims are sourced. ""Roughly 30x per year since mid-2023"" cites Epoch AI (2025). The Koylan ""40% token reduction"" cites the source. The Anthropic quotes are attributed. The ""Prior work"" citations (Simon, Miller, Cowan, Toffler) are named with years — these are well-known enough that full citations are not required in a note, though they are not linked. No unsupported specific numbers found."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,prose-review,CLEAN,Anthropomorphic framing,"The note consistently uses precise language: ""the model degrades,"" ""the agent receives instructions,"" ""the agent can attend to."" No instances of ""understands,"" ""knows,"" ""believes,"" or ""possesses knowledge."" The phrase ""understands its task"" appears once in the opening paragraph — ""the finite window of tokens the agent can attend to... understands its task"" — but in context this is describing the functional role of the context window (it is the channel through which the agent *processes* its task), not making a cognitive claim. Borderline but defensible."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,WARN,Completeness,"The claim that context is ""unitary, impossible to tier"" (paragraph 2) is overstated given that the note itself later describes tool-mediated external state and symbolic scheduling as architectural responses. Agents routinely use files, databases, and code-side state as a second tier. The ""impossible to tier"" framing holds for *within-window* processing (no cache/RAM hierarchy inside attention) but not for the agent system as a whole. The note's own architectural responses section implicitly contradicts the opening's stronger claim."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,INFO,Completeness,"The six architectural responses omit tool-call offloading (moving computation out of context entirely), which is arguably the most fundamental response to context scarcity — the bounded-context orchestration model reference gestures at this but the enumerated list does not include it as a named pattern."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,INFO,Completeness,"The six architectural responses do not clearly cover retrieval-augmented generation as a distinct mechanism. RAG is partially captured by ""navigation design"" but the note's framing emphasizes agent-driven navigation decisions, whereas RAG systems use external retrieval to select what enters context — a different mechanism serving the same goal."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,INFO,Completeness,Conversation reset (deliberately starting fresh to shed accumulated context) is a common practitioner response to soft degradation that does not map to any of the six listed responses.
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,WARN,Grounding,"The Koylan 40% token reduction claim drops the source's qualifier ""for voice-only tasks"" and presents it as a general result. The note also adds ""outsized impact on agent reliability"" — a characterization absent from the source, which reports only token savings. This inflates the evidential weight of the citation."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,WARN,Grounding,"The Lopopolo attribution narrows the source's ""bottleneck was the environment, not the model"" (which explicitly includes tools, feedback, constraints beyond context) to ""the bottleneck was not model capability but the structure of what loaded into context."" The source explicitly distinguishes harness engineering from context engineering and identifies the bottleneck as the broader environment. The note uses this to ground a context-centric claim that the source frames as only one part of the picture."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,INFO,Grounding,"The note's domain (context as the central design concern) is narrower than the Lopopolo source's domain (harness engineering, which includes context + constraints + verification + entropy management). Every individual fact cited from the source is accurate, but the source is used to ground a claim about context primacy when the source itself argues for a broader set of concerns. The source supports ""context matters"" but not ""context is the central concern"" — the latter is the note's own move."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,WARN,Consistency,"The opening claims context is ""unitary, impossible to tier"" but the architectural responses section describes sub-agent isolation (separate context windows), symbolic scheduling with external state, and tool-mediated storage — all of which function as tiering mechanisms. The note implicitly shifts from describing the raw attention mechanism (unitary) to describing system architecture (multi-tier) without flagging the shift. A reader could reasonably conclude that the note contradicts itself on whether context can be tiered."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,INFO,Consistency,"The note cites Lopopolo as evidence for context primacy, but the source explicitly frames the bottleneck as broader than context (tools, feedback, constraints, entropy management). The note does not acknowledge this tension between its ""central design concern"" framing and the source's ""one of several concerns"" framing."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,CLEAN,Completeness,"The volume/complexity decomposition is well-grounded in the soft-degradation note and holds up under boundary testing. The distinction is clear, the interaction between dimensions is acknowledged, and the note correctly notes they are ""distinguishable but not fully separable."""
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,CLEAN,Grounding,The soft-degradation premise attribution is accurate — the soft-degradation note does establish both dimensions and does identify soft degradation as the binding constraint. The dependency relationship between the two notes is clean.
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,CLEAN,Grounding,"The sub-agent/lexical-scoping attribution to the scoping note is accurate — the scoping note uses the same ""lexically scoped frames"" language and develops the same mechanism."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,CLEAN,Grounding,"The homoiconicity reference accurately describes the property (instructions and data share the same medium, no enforced boundaries) as stated in the source note."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,CLEAN,Consistency,"The volume/complexity framework is used consistently throughout the note — each architectural response is tagged with its primary dimension target, and the Jevons paradox argument correctly applies to volume only."
context-efficiency-is-the-central-design-concern-in-agent-systems.md,semantic-review,CLEAN,Consistency,"The ""context efficiency"" term is used with a stable meaning throughout the note."
context-engineering.md,prose-review,WARN,Confidence miscalibration,"""The operational core decomposes into four components within a single bounded call"" presents the note's own taxonomy (routing, loading, scoping, maintenance) as a definitive decomposition. This four-part framework is the note's construction, not an established result, but uses assertive language (""decomposes into"") rather than framing it as proposed. The same pattern recurs in the architectural-scope section, where five sub-components are presented as exhaustive (""A system with poor storage shape, transcript-oriented boundaries, or verbose tool surfaces cannot be rescued by a clever selector alone"" — presupposes this list covers the relevant factors)."
